label
Lepidoptera
unclassified Lepidoptera
Glossata
environmental samples <Lepidoptera>
Zeugloptera
Aglossata
Heterobathmiina
Lepitoptera incertae sedis
Lepidoptera sp. BOLD:AAP1817
Lepidoptera sp. BOLD:AAP1818
Lepidoptera sp. BOLD:AAP1819
Lepidoptera sp. BOLD:AAP1820
Lepidoptera sp. BOLD:AAP1821
Lepidoptera sp. BOLD:AAP1882
Lepidoptera sp. BOLD:AAP1926
Lepidoptera sp. BOLD:AAP1927
Lepidoptera sp. BOLD:AAP1930
Lepidoptera sp. BOLD:AAP1973
Lepidoptera sp. BOLD:AAP1987
Lepidoptera sp. BOLD:AAP1994
Lepidoptera sp. BOLD:AAP2007
Lepidoptera sp. BOLD:AAP2008
Lepidoptera sp. BOLD:AAP2009
Lepidoptera sp. BOLD:AAP2010
Lepidoptera sp. BOLD:AAP2011
Lepidoptera sp. BOLD:AAP2012
Lepidoptera sp. BOLD:AAP2013
Lepidoptera sp. BOLD:AAP2014
Lepidoptera sp. BOLD:AAP2015
Lepidoptera sp. BOLD:AAP2016
